"Year","YearMonth","AverageMonthlySmois30","AverageMonthlyPrecip"
2000,2000-05-01,0.272638888888889,0.29875
2000,2000-06-01,0.275409836065574,0.2375
2000,2000-07-01,0.224005376344086,0.325
2000,2000-08-01,0.228911290322581,0.194545454545455
2000,2000-09-01,0.192352941176471,0.314545454545455
2000,2000-11-01,0.289611111111111,0.9
2000,2000-12-01,0.314771505376344,0.2925
2001,2001-01-01,0.316908602150538,0.541818181818182
2001,2001-02-01,0.33171130952381,0.403076923076923
2001,2001-03-01,0.336989247311828,0.724444444444444
2001,2001-04-01,0.301736111111111,0.288571428571429
2001,2001-05-01,0.288709677419355,0.323636363636364
2001,2001-06-01,0.288541666666667,0.559230769230769
2001,2001-07-01,0.273185483870968,0.202
2001,2001-08-01,0.270645161290323,0.354615384615385
2001,2001-09-01,0.287375,0.94875
2001,2001-10-01,0.299731182795699,0.43
2001,2001-11-01,0.290916666666667,0.612
2001,2001-12-01,0.328629032258065,0.726
2002,2002-01-01,0.334059139784946,0.600833333333333
2002,2002-02-01,0.339598214285714,0.374285714285714
2002,2002-03-01,0.345819892473118,0.594615384615385
2002,2002-04-01,0.324666666666667,0.2325
2002,2002-05-01,0.315631720430108,0.639090909090909
2002,2002-06-01,0.246430555555556,0.286923076923077
2002,2002-07-01,0.240967741935484,0.227272727272727
2002,2002-08-01,0.187083333333333,0.412
2002,2002-09-01,0.256041666666667,0.889230769230769
2002,2002-10-01,0.297540322580645,0.406923076923077
2002,2002-11-01,0.320055555555556,0.472857142857143
2002,2002-12-01,0.330268817204301,0.693846153846154
2003,2003-01-01,0.296034946236559,0.246666666666667
2003,2003-02-01,0.328258928571429,0.612
2003,2003-03-01,0.310943396226415,0.438333333333333
2003,2003-04-01,0.318625,0.508571428571429
2003,2003-05-01,0.313319892473118,0.768571428571429
2003,2003-06-01,0.291583333333333,0.432941176470588
2003,2003-07-01,0.290756756756757,0.666666666666667
2003,2003-08-01,0.298481182795699,0.347777777777778
2003,2003-09-01,0.293625,0.63
2003,2003-10-01,0.293427419354839,0.421666666666667
2003,2003-11-01,0.326847222222222,1.16777777777778
2003,2003-12-01,0.350241935483871,0.423846153846154
2004,2004-01-01,0.326747311827957,0.548333333333333
2004,2004-02-01,0.345330459770115,0.51
2004,2004-03-01,0.335940860215054,0.28
